time,coin,dir,px,sz,ntl,fee,closedPnl
08/07/2024 - 09:51:49,kPEPE,Open Long,0.008273,60510,500.59923000000003,0.175209,-0.175209
08/07/2024 - 10:00:39,BCH,Open Long,310.18,2.416,749.39488,0.262288,-0.262288
08/07/2024 - 10:09:04,kPEPE,Open Long,0.0084137,90505,761.4819185,0.266518,-0.266518
08/07/2024 - 11:03:40,BTC,Open Long,55273,0.02672,1476.89456,0.516913,-0.516913
08/07/2024 - 11:17:41,BCH,Close Long,310.45,2.416,750.0472,0.262516,0.389804
08/07/2024 - 12:35:55,EIGEN,Open Long,3.9673,74.47,295.44483099999997,0.103405,-0.103405
08/07/2024 - 14:17:09,kPEPE,Close Long,0.0089,6040,53.756,0.005375,3.2743450000000003
08/07/2024 - 16:27:26,kPEPE,Close Long,0.008747,144975,1268.096325,0.443833,56.096417
08/07/2024 - 16:30:08,BTC,Close Long,56796,0.02672,1517.58912,0.531156,40.163404
08/07/2024 - 16:30:09,EIGEN,Close Long,4.04802892,74.47,301.4567136724,0.105509,5.9063740000000005
10/07/2024 - 05:52:29,BTC,Open Short,57604.76886467,0.14498,8351.539389999856,2.923037,-2.923037
10/07/2024 - 09:31:09,BTC,Close Short,58285.98165264,0.14498,8450.301619999747,2.957604,-101.72981800000001
10/07/2024 - 09:56:58,BTC,Open Long,58988,0.07903,4661.82164,1.631637,-1.631637
10/07/2024 - 13:53:43,BTC,Close Long,58682,0.07903,4637.63846,1.623172,-25.806352
11/07/2024 - 10:40:50,BTC,Open Short,57831,0.13315,7700.197649999999,2.695068,-2.695068
12/07/2024 - 07:44:31,kPEPE,Open Long,0.008852,86320,764.10464,0.267436,-0.267436
12/07/2024 - 08:47:07,kPEPE,Close Long,0.008819,86320,761.25608,0.266439,-3.114999
12/07/2024 - 15:57:00,BTC,Close Short,56865,0.13315,7571.57475,2.650051,125.97284899999998
12/07/2024 - 15:58:42,BTC,Open Long,56908,0.26856,15283.212480000002,5.349122,-5.349122
12/07/2024 - 22:06:11,BTC,Close Long,58374,0.02096,1223.51904,0.122351,30.605009000000003
12/07/2024 - 22:06:12,BTC,Close Long,58374,0.00589,343.82286,0.034382,8.600358
13/07/2024 - 01:49:42,BTC,Close Long,57282.72305656,0.24171,13845.806990001118,4.846031,85.728279
13/07/2024 - 13:38:31,BTC,Open Long,58133.30859494,1.01583,59053.5588699979,20.668743,-20.668743
14/07/2024 - 03:56:34,BTC,Close Long,58257.22534282,1.01583,59179.43721999684,20.7128,105.174281
14/07/2024 - 04:43:06,BTC,Open Long,59652.53996055,1.00887,60181.65799000007,21.063573,-21.063573
14/07/2024 - 04:50:42,kPEPE,Open Long,0.008885,30284,269.07334000000003,0.094175,-0.094175
14/07/2024 - 18:23:37,BTC,Open Long,59606.31778559,0.39234,23385.94271999838,8.185079,-8.185079
14/07/2024 - 18:24:18,kPEPE,Open Long,0.008853,592452,5244.977556,1.835741,-1.835741
14/07/2024 - 18:58:47,ETH,Open Long,3191.9,12.5851,40170.380690000005,14.05963,-14.05963
15/07/2024 - 06:20:58,kPEPE,Open Long,0.00973191,22983250,223670.9205075,78.284825,-78.284825
15/07/2024 - 06:22:09,BTC,Open Long,61141,0.79588,48660.89908,17.031313,-17.031313
15/07/2024 - 06:24:13,ETH,Open Long,3282.79622913,28.1765,92497.70795008144,32.374196,-32.374196
15/07/2024 - 08:12:56,BTC,Close Long,62381.08561444,0.54944,34274.66367999792,11.996131,1195.500253
15/07/2024 - 08:14:09,BTC,Close Long,62286.38326376,0.41204,25664.48135999967,8.982568,857.530656
15/07/2024 - 08:14:27,ETH,Close Long,3321.48570293,20.3811,67695.53225998662,23.693434,1336.8612229999999
15/07/2024 - 08:14:34,kPEPE,Close Long,0.00971185,11566932,112336.30854419999,39.317685,5.175175000000003
15/07/2024 - 08:25:18,BTC,Open Long,62552.56221745,3.62543,226779.93564000976,79.372971,-79.372971
15/07/2024 - 10:21:10,kPEPE,Open Long,0.00961315,4499033,43249.87908395001,15.137448,-15.137448
