Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
15/07/2024 - 08:14:27,ETH,Close Long,3321.48570293,20.3811,67695.53225998662,23.693434,1336.8612229999999
15/07/2024 - 16:50:59,ETH,Close Long,3328.59338102,12.7784,42534.09766002597,14.886932,116.901576
16/07/2024 - 03:49:03,ETH,Close Long,3458.7,19.1043,66076.04241,23.126614,2392.994207
16/07/2024 - 13:10:16,ETH,Close Long,3369.83541354,165.3647,557251.822209418,195.038128,-6059.628828
18/07/2024 - 20:17:19,ETH,Close Long,3428.11887831,115.29,395227.82548035996,118.568329,3583.2642509999996
18/07/2024 - 20:37:06,ETH,Close Long,3417.95876889,62.7286,214403.76843019327,64.321112,-1007.8364819999999
19/07/2024 - 09:51:59,ETH,Close Long,3426.2,13.2372,45353.29463999999,13.605985,68.729399
19/07/2024 - 09:52:08,ETH,Close Long,3426.2,6.8146,23348.18252,1.167409,41.219403
19/07/2024 - 09:52:08,ETH,Close Long,3426.2,6.7566,23149.462919999998,1.157473,40.868579
19/07/2024 - 09:52:10,ETH,Close Long,3426.2,0.0349,119.57437999999999,0.005978,0.21109999999999998
19/07/2024 - 09:52:12,ETH,Close Long,3426.2,19.1036,65452.75432,3.272637,115.551755
19/07/2024 - 09:52:12,ETH,Close Long,3426.2,14.0522,48145.647639999996,2.407282,84.99740200000001
19/07/2024 - 09:52:24,ETH,Close Long,3426.3,0.0009,3.08367,0.000925,0.004763
20/07/2024 - 06:28:30,ETH,Close Long,3484.5,0.0286,99.6567,0.029897,-0.187197
23/07/2024 - 01:11:39,ETH,Close Long,3491.1,40.6726,141992.11386,42.597627,-523.754485
23/07/2024 - 13:01:28,ETH,Close Long,3448.73331192,72.2417,249142.35729973103,62.285581,-3977.5464620000002
23/07/2024 - 13:01:30,ETH,Close Long,3448.2,48.3836,166836.32952,0,-2648.034428
23/07/2024 - 13:01:52,ETH,Close Long,3449.4,0.0001,0.34494,0.000086,-0.005439
25/07/2024 - 07:59:04,ETH,Close Long,3163.79462269,227.253,718981.8193901705,179.745437,-6772.858937
27/07/2024 - 08:38:07,ETH,Close Long,3253.7,2.3073,7507.26201,1.876815,-7.229750999999999
27/07/2024 - 08:38:13,ETH,Close Long,3253.7,0.0035,11.38795,0,-0.00812
27/07/2024 - 08:38:14,ETH,Close Long,3253.7,0.0146,47.50402,0,-0.033872
27/07/2024 - 08:38:17,ETH,Close Long,3253.7,0.0035,11.38795,0,-0.00812
27/07/2024 - 08:38:19,ETH,Close Long,3253.7,0.0272,88.50063999999999,0,-0.063104
27/07/2024 - 08:38:21,ETH,Close Long,3253.7,0.0035,11.38795,0,-0.00812
27/07/2024 - 08:38:43,ETH,Close Long,3253.7,0.0035,11.38795,0,-0.00812
27/07/2024 - 08:39:26,ETH,Close Long,3253.7,3.4309,11163.11933,0,-7.959688
27/07/2024 - 08:39:50,ETH,Close Long,3253.7,0.0344,111.92728,0,-0.079808
27/07/2024 - 08:39:51,ETH,Close Long,3253.7,0.0035,11.38795,0,-0.00812
27/07/2024 - 08:47:36,ETH,Close Long,3248,2.883,9363.984,2.340996,-25.462656
27/07/2024 - 08:47:43,ETH,Close Long,3247.4,16.2393,52735.50282,13.183875,-153.166641
27/07/2024 - 08:48:14,ETH,Close Long,3246.7,9.5,30843.649999999998,7.710912,-96.250912
