Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
25/07/2024 - 06:50:10,ETH,Close Short,3231.91538685,132.5976,428544.2236993815,107.136041,2823.882611
25/07/2024 - 09:38:32,ETH,Close Short (Price Improved),3123,7.6423,23866.902899999997,0,334.274202
25/07/2024 - 17:14:46,ETH,Close Short,3170.38588527,33.5203,106272.28599001598,26.568069,-83.414652
25/07/2024 - 17:59:14,ETH,Close Short,3168.3,0.609,1929.4947,0,0.93786
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,1.55,4910.865000000001,0,2.387
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,7.336,23242.648800000003,0,11.29744
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,1.6027,5077.83441,0,2.468158
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,11,34851.3,0,16.94
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,3.6247,11484.13701,0,5.582038
25/07/2024 - 17:59:15,ETH,Close Short,3168.3,0.8962,2839.43046,0,1.380148
25/07/2024 - 18:52:34,ETH,Close Short,3149.3,5.8066,18286.725380000003,4.57168,114.69588399999999
25/07/2024 - 18:52:48,ETH,Close Short,3149.5,3.5236,11097.5782,0,71.670024
25/07/2024 - 18:52:49,ETH,Close Short,3149.5,19.8602,62549.6999,0,403.956468
25/07/2024 - 18:52:49,ETH,Close Short,3149.5,19.5256,61495.8772,0,397.150704
25/07/2024 - 18:52:53,ETH,Close Short,3149.5,1,3149.5,0,20.34
25/07/2024 - 18:52:53,ETH,Close Short,3149.5,19.5256,61495.8772,0,397.150704
25/07/2024 - 18:52:53,ETH,Close Short,3149.5,19.5256,61495.8772,0,397.150704
25/07/2024 - 18:52:56,ETH,Close Short,3149.5,1,3149.5,0,20.34
25/07/2024 - 18:52:57,ETH,Close Short,3149.5,6.397,20147.3515,0,130.11498
25/07/2024 - 18:52:58,ETH,Close Short,3149.5,6.397,20147.3515,0,130.11498
25/07/2024 - 18:52:59,ETH,Close Short,3149.5,1,3149.5,0,20.34
25/07/2024 - 18:53:07,ETH,Close Short,3149.5,0.0074,23.3063,0,0.150516
25/07/2024 - 18:53:09,ETH,Close Short,3149.5,11.4302,35999.414899999996,0,232.490268
25/07/2024 - 18:53:09,ETH,Close Short,3149.5,1.0417,3280.83415,0,21.188178
25/07/2024 - 18:53:10,ETH,Close Short,3149.5,1.094,3445.5530000000003,0,22.25196
25/07/2024 - 18:53:12,ETH,Close Short,3149.5,1,3149.5,0,20.34
25/07/2024 - 18:53:13,ETH,Close Short,3149.5,1.5878,5000.7761,0,32.295852
25/07/2024 - 18:53:16,ETH,Close Short,3149.5,1,3149.5,0,20.34
25/07/2024 - 18:53:23,ETH,Close Short,3149.5,0.6607,2080.8746499999997,0,13.438638
25/07/2024 - 18:53:24,ETH,Close Short,3149.5,4.8341,15224.99795,0,98.325594
25/07/2024 - 18:53:24,ETH,Close Short,3149.5,2.0541,6469.38795,0,41.780394
25/07/2024 - 18:53:24,ETH,Close Short,3149.5,3.7924,11944.1638,0,77.137416
25/07/2024 - 18:53:25,ETH,Close Short,3149.5,1.315,4141.5925,0,26.7471
25/07/2024 - 18:53:25,ETH,Close Short,3149.5,1.0417,3280.83415,0,21.188178
