Time,Coin,Direction,Price,Size,Notional,Fee,Closed PnL
14/07/2024 - 18:58:47,ETH,Open Long,3191.9,12.5851,40170.380690000005,14.05963,-14.05963
15/07/2024 - 06:24:13,ETH,Open Long,3282.79622913,28.1765,92497.70795008144,32.374196,-32.374196
15/07/2024 - 11:13:08,ETH,Open Long,3341.7,7.9139,26445.87963,9.256053,-9.256053
15/07/2024 - 11:36:26,ETH,Open Long,3334.3,7.4894,24971.90642,8.740167,-8.740167
15/07/2024 - 13:10:55,ETH,Open Long,3362.9,8.0582,27098.92078,9.48462,-9.48462
15/07/2024 - 14:55:16,ETH,Open Long,3354.1074579,12.7784,42860.12674002936,15.001039,-15.001039
15/07/2024 - 16:21:38,ETH,Open Long,3338.2,8.6594,28906.80908,10.117382,-10.117382
15/07/2024 - 20:23:25,ETH,Open Long,3370.6,19.1043,64392.953579999994,22.537533,-22.537533
16/07/2024 - 11:07:12,ETH,Open Long (Price Improved),3428.5,13.9258,47744.6053,4.77446,-4.77446
16/07/2024 - 11:07:16,ETH,Open Long,3428.5,0.0036,12.3426,0.001234,-0.001234
16/07/2024 - 11:07:33,ETH,Open Long (Price Improved),3428.5,13.4337,46057.44045,4.605742,-4.605742
16/07/2024 - 11:07:36,ETH,Open Long,3428.5,0.0272,93.25519999999999,0.009325,-0.009325
16/07/2024 - 11:07:37,ETH,Open Long,3428.5,8.7501,29999.71785,2.999971,-2.999971
16/07/2024 - 11:07:38,ETH,Open Long,3428.5,0.006,20.571,0.002057,-0.002057
16/07/2024 - 11:07:48,ETH,Open Long,3428.5,0.48,1645.6799999999998,0.164568,-0.164568
16/07/2024 - 11:07:50,ETH,Open Long,3428.5,100,342850,34.285,-34.285
16/07/2024 - 11:07:50,ETH,Open Long,3428.5,0.3989,1367.6286499999999,0.136762,-0.136762
16/07/2024 - 11:07:51,ETH,Open Long,3428.5,28.3394,97161.63290000001,9.716163,-9.716163
16/07/2024 - 14:21:16,ETH,Open Long,3364.7533695,15.3376,51607.24128004321,18.062533,-18.062533
16/07/2024 - 14:21:44,ETH,Open Long,3364.8,8.7689,29505.594720000005,10.326956,-10.326956
16/07/2024 - 20:14:22,ETH,Open Long,3402.2,7.0721,24060.69862,8.421244,-8.421244
17/07/2024 - 22:34:29,ETH,Open Long,3403.02123505,31.61,107569.5012399305,32.270842,-32.270842
18/07/2024 - 20:24:28,ETH,Open Long,3433.00187458,62.7286,215347.40138977897,64.604207,-64.604207
19/07/2024 - 07:44:47,ETH,Open Long,3419.984684,60,205199.08104,61.55971,-61.55971
19/07/2024 - 21:57:40,ETH,Open Long,3490,0.0286,99.81400000000001,0.029944,-0.029944
20/07/2024 - 23:51:12,ETH,Open Long,3526.23207139,104.8171,369609.4196500927,110.882809,-110.882809
22/07/2024 - 12:06:39,ETH,Open Long,3483.9,4.5,15677.550000000001,0.783877,-0.783877
22/07/2024 - 12:09:34,ETH,Open Long,3471.2,4.5,15620.4,0.78102,-0.78102
22/07/2024 - 20:51:44,ETH,Open Long,3455.4879265,6.8083,23525.99844998995,7.057799,-7.057799
22/07/2024 - 20:52:05,ETH,Open Long,3456.46282362,40.6726,140583.3298399668,42.17499,-42.17499
25/07/2024 - 06:52:40,ETH,Open Long,3215.71284838,124.2818,399654.5810797935,99.913635,-99.913635
25/07/2024 - 06:57:05,ETH,Open Long,3209.34885754,4.5647,14649.71473001284,3.662426,-3.662426
27/07/2024 - 08:21:03,ETH,Open Long,3256.02473152,84.9782,276691.12084005284,69.172768,-69.172768
28/07/2024 - 02:58:26,ETH,Open Long,3284.07420507,151.3317,496984.5323793918,124.246116,-124.246116
28/07/2024 - 16:53:55,ETH,Open Long,3267.62119471,207.8471,679165.5892190089,169.791381,-169.791381
29/07/2024 - 08:01:02,ETH,Open Long,3314.91830396,304.0134,1007779.584309113,251.944866,-251.944866
02/08/2024 - 20:55:52,ETH,Open Long,3005.15795436,23.8234,71593.08000990002,17.898267,-17.898267
07/08/2024 - 20:25:01,ETH,Open Long,2386.61493972,322.7075,770178.5406596919,192.544615,-192.544615
07/08/2024 - 21:19:48,ETH,Open Long,2398.7961226,323.1904,775267.8783815431,193.816953,-193.816953
07/08/2024 - 21:35:50,ETH,Open Long,2393.553631,10,23935.536310000003,5.983882,-5.983882
07/08/2024 - 21:36:35,ETH,Open Long,2398.29906795,293.3526,703547.2671607091,175.886796,-175.886796
07/08/2024 - 21:42:47,ETH,Open Long,2401.70140636,328.0451,787866.3780195068,196.966579,-196.966579
07/08/2024 - 21:52:21,ETH,Open Long,2403.80920146,325.521,782490.3750684607,195.622578,-195.622578
24/08/2024 - 14:30:11,ETH,Open Long,2779.54300979,605.2422,1682296.726239921,420.574157,-420.574157
26/08/2024 - 23:23:14,ETH,Open Long,2687,9.057,24336.159,0,0
26/08/2024 - 23:23:15,ETH,Open Long,2687,0.1513,406.5431,0,0
26/08/2024 - 23:38:07,ETH,Open Long,2687,12.6647,34030.0489,0,0
27/08/2024 - 01:38:43,ETH,Open Long,2673.6,21.873,58479.6528,0,0
28/08/2024 - 03:08:59,ETH,Open Long (Price Improved),2526.7,1.5472,3909.3102399999993,0,0
28/08/2024 - 03:09:00,ETH,Open Long,2526.7,1.4499,3663.46233,0,0
28/08/2024 - 03:09:01,ETH,Open Long,2526.7,7.6097,19227.42899,0,0
28/08/2024 - 03:09:01,ETH,Open Long,2526.7,11.2662,28466.307539999998,0,0
03/09/2024 - 07:43:44,ETH,Open Long,2548.70514071,470.2991,1198653.7338412863,299.663421,-299.663421
03/09/2024 - 07:43:59,ETH,Open Long,2550.91033255,445.8685,1137370.5636085696,284.342625,-284.342625
03/09/2024 - 19:37:54,ETH,Open Long,2457.71863246,120.1994,295416.30499051255,73.85407,-73.85407
04/09/2024 - 04:46:07,ETH,Open Long,2447.33174643,244.4432,598233.6035589377,149.558389,-149.558389
04/09/2024 - 05:18:23,ETH,Open Long,2444.4147507,247.5849,605200.1816105844,151.300032,-151.300032
04/09/2024 - 05:27:19,ETH,Open Long,2425.22372855,497.145,1205687.8505299897,301.421939,-301.421939
04/09/2024 - 05:29:34,ETH,Open Long,2422.18646541,119.0247,288300.0173894856,72.074997,-72.074997
